county,id,okrug,okrug_id,year,vote_milosevic,vote_opposition,vote_srs,turnout,bombed,year00,employed_per_1000inh,pop_per_doctor,refugees_perc_pop,minorpc91,femalepc91,pop_chng_98_02,irp,urbanpc91,age20_34pc,illiterate_pc,allen_vincent_2011
OPOVO,90,JUZNOBANATSKI,4,1992,27.32514034,21.37763617,22.89485662,77.08,0,0,157,747,0.055165144,0.16101546,0.504654022,0.001454545,0.005181818,0.419476642,0.191267248,0.025326797,0
OSECINA,91,KOLUBARSKI,9,1992,28.01702802,17.32501733,14.77081477,77.11,0,0,148,1367,0.021797552,0.008121827,0.494595402,-0.065740741,0.000185185,0,0.173637265,0.060455897,0
PALILULA,92,BEOGRAD,0,1992,21.71272722,24.65908022,22.37911623,63.51,1,0,375,548,0.0912464,0.157912215,0.50274339,-0.006360739,0.023906947,0.877337481,0.211074906,0.012591243,1
PANCEVO,93,JUZNOBANATSKI,4,1992,25.89477827,25.94856993,21.80661244,75.58,1,0,303,354,0.085317856,0.310775102,0.509396724,-0.000298742,0.009599057,0.706951658,0.208851701,0.023568362,0
PARACIN,94,POMORAVSKI,13,1992,31.24059746,16.5027939,25.33043198,73.69,1,0,259,486,0.02111983,0.040658775,0.508107433,-0.08331761,0.014433962,0.399004323,0.182604072,0.038798648,0
PECINCI,95,SREMSKI,7,1992,31.80655476,13.16546763,27.46602718,85.39,1,0,199,714,0.139861533,0.098022613,0.498929656,0.086161616,0.00540404,0,0.191155956,0.026690226,0
PETROVAC,96,BRANICEVSKI,11,1992,37.67825122,21.21936641,12.86397404,63.42,0,0,92,700,0.030120222,0.110634722,0.510449433,-0.244835886,0.001969365,0.166501487,0.183130017,0.064037553,0
PIROT,97,PIROTSKI,22,1992,35.53283629,9.942408143,26.63734988,82.18,1,0,299,282,0.013686482,0.065831092,0.494603812,-0.034931921,0.005310136,0.594496036,0.186562368,0.029549623,0
PLANDISTE,98,JUZNOBANATSKI,4,1992,32.24997273,14.01461446,21.30003272,82.64,0,0,227,636,0.084973596,0.497016666,0.501610803,-0.016397059,0.000588235,0,0.172011662,0.047170517,0
POZAREVAC,99,BRANICEVSKI,11,1992,31.48725625,21.12801962,20.6457112,73.22,1,0,266,295,0.04578521,0.08202839,0.513333412,-0.128032596,0.021734575,0.640972624,0.204240207,0.027369096,0
POZEGA,100,ZLATIBORSKI,16,1992,29.6537906,23.36796981,21.64391221,79.51,1,0,223,670,0.035856811,0.023735779,0.505652407,-0.03024024,0.01006006,0.373415839,0.185736847,0.029542006,0
PRESEVO,101,PCINJSKI,24,1992,5.862761683,0.391203214,3.515542398,79.97,1,0,85,1274,0.001874535,0.283415288,0.500965838,-0.23790393,0.000720524,0.118387976,0.220203988,0.060566124,0
PRIBOJ,102,ZLATIBORSKI,16,1992,18.85263158,24.26842105,34.35263158,78.44,1,0,281,506,0.02397708,0.348529944,0.49879002,-0.158531856,0.002382271,0.615754777,0.196003555,0.034927741,1
PRIJEPOLJE,103,ZLATIBORSKI,16,1992,23.62086259,18.89836175,32.18823136,72.41,1,0,228,606,0.025685116,0.467598066,0.499258463,-0.127372881,0.007542373,0.33603439,0.210279693,0.040400117,0
PROKUPLJE,104,TOPLICKI,21,1992,40.7417242,9.680179383,31.27102142,83.36,1,0,238,305,0.025637637,0.065396741,0.507243913,-0.070862069,0.084712644,0.534614004,0.187831179,0.06113276,0
RACA,105,SUMADIJSKI,12,1992,23.53730842,21.6355297,13.97248014,75.19,0,0,185,822,0.024250789,0.023790747,0.506374869,-0.106275862,0.043931034,0.179350683,0.177328498,0.025696427,0
RAKOVICA,106,BEOGRAD,0,1992,21.30687446,22.96605692,23.91699135,73.09,1,0,170,598,0.076591783,0.133030526,0.510427966,-0.006024096,0.02438755,1,0.219878788,0.007434343,0
RASKA,107,RASKI,18,1992,40.73145473,6.894860195,29.77598517,83.56,1,0,272,586,0.015932097,0.039273663,0.501884291,-0.053298246,0.060842105,0.326156745,0.193951299,0.055965309,1
RAZANJ,108,NISAVSKI,20,1992,53.80515881,7.652952462,18.55681091,83.34,1,0,98,722,0.036371668,0.023413341,0.513179208,-0.09048,0.00312,0,0.149001671,0.064033776,0
REKOVAC,109,POMORAVSKI,13,1992,27.51417769,10.51984877,14.81096408,76.51,0,0,109,1080,0.010246573,0.017459291,0.500526747,-0.136878981,0.00433121,0,0.149361671,0.070253118,0
RUMA,110,SREMSKI,7,1992,28.34620335,12.68866269,32.57575758,80.5,1,0,230,717,0.287272859,0.215767786,0.513339266,0.083140794,0.003483755,0.519078147,0.198180182,0.03193014,0
SABAC,111,MACVANSKI,8,1992,27.21023907,19.60517452,24.66971859,78.66,1,0,229,363,0.141596499,0.051709495,0.510796984,-0.00168156,0.002721365,0.444380282,0.20569113,0.040384725,0
SAVSKI VENAC,112,BEOGRAD,0,1992,23.30977103,2.817330132,13.65035343,79.19,1,0,1469,170,0.132146303,0.192525481,0.535707568,-0.071943231,0.035938865,1,0.18934243,0.003387837,1
SECANJ,113,SREDNJOBANATSKI,2,1992,38.43321058,16.29561433,19.71878139,85.62,0,0,195,646,0.083902809,0.337672199,0.509444203,-0.074745763,0.003502825,0.192357794,0.169200708,0.035659767,0
SENTA,114,SEVERNOBANATSKI,3,1992,4.931982634,6.193921852,3.577424023,74.23,0,0,263,313,0.010459015,0.910872511,0.50863837,-0.090106762,0.000782918,0.793513401,0.188947121,0.014158323,0
SID,115,SREMSKI,7,1992,27.9435128,12.01235658,27.94792586,84.08,1,0,248,648,0.262494149,0.402951786,0.513325481,0.126387283,0.001734104,0.39099948,0.189207913,0.023811357,0
SJENICA,116,ZLATIBORSKI,16,1992,30.44041451,9.002590674,40.4630829,29.69,1,0,157,855,0.007808557,0.775956771,0.490424869,-0.196264368,0.004454023,0.428876815,0.21766178,0.06592778,1
SMEDEREVO,117,PODUNAVSKI,10,1992,30.11733197,21.63308251,22.80480806,69.71,1,0,245,420,0.045183667,0.066080248,0.503768768,-0.064659284,0.060962521,0.552844966,0.203316668,0.030052182,0
SMEDEREVSKA PALANKA,118,PODUNAVSKI,10,1992,29.00967853,26.67069939,18.05507547,74.23,0,0,209,349,0.032713717,0.038497543,0.506472818,-0.050661017,0.018661017,0.4216722,0.193658389,0.02794094,0
SOKOBANJA,119,ZAJECARSKI,15,1992,36.04991087,9.404634581,23.18716578,77.71,0,0,211,247,0.014397667,0.043193002,0.511893912,-0.098495146,0.01907767,0.384569814,0.165419202,0.033223844,0
SOMBOR,120,ZAPADNOBACKI,5,1992,24.75227226,12.06861204,25.4629946,79.17,1,0,287,337,0.169928724,0.491233547,0.519658351,0.016332288,0.002716823,0.510939846,0.19529523,0.023513566,0
